epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.72479,2.07216,2.81844,1.79637,0.01705,0.63649,0.07746,0.02791,2.03119,3.04218,1.79181,0.00042,0.00042,0.00042
2,19.386,1.93235,2.26201,1.74428,0.02047,0.76379,0.09227,0.03089,2.14487,2.75598,1.82082,0.00083162,0.00083162,0.00083162
3,26.3072,1.9495,2.23039,1.74352,0.23146,0.13437,0.11568,0.04281,2.14595,2.5659,1.97289,0.0012142,0.0012142,0.0012142
4,31.212,1.95825,2.16003,1.77203,0.20929,0.25177,0.12645,0.04015,2.2356,2.47684,2.04926,0.00156774,0.00156774,0.00156774
5,37.127,1.99217,2.13972,1.75202,0.15983,0.19943,0.08343,0.02736,2.36845,2.64292,2.13532,0.001736,0.001736,0.001736
6,43.7417,1.95998,2.1843,1.77131,0.16128,0.25177,0.09559,0.03119,2.13965,3.59343,2.0898,0.00167,0.00167,0.00167
7,48.6526,1.91624,2.1442,1.75255,0.18185,0.27864,0.13139,0.0464,2.29881,2.53047,2.10277,0.001604,0.001604,0.001604
8,55.1234,1.91876,2.08982,1.73571,0.18155,0.2645,0.14366,0.05191,2.23887,3.53531,1.92207,0.001538,0.001538,0.001538
9,60.0062,1.85512,2.06793,1.70863,0.24194,0.2546,0.17156,0.06576,2.06395,2.48463,1.8965,0.001472,0.001472,0.001472
10,65.2443,1.83069,2.05125,1.69564,0.20636,0.23621,0.13456,0.05046,2.07249,2.6843,2.01712,0.001406,0.001406,0.001406
11,71.2588,1.84467,2.05512,1.69064,0.21617,0.23762,0.15354,0.05991,2.00921,3.39173,1.93067,0.00134,0.00134,0.00134
12,76.278,1.80656,2.02247,1.69109,0.28116,0.25884,0.18111,0.06929,2.00011,2.37744,1.82832,0.001274,0.001274,0.001274
13,82.8488,1.80449,2.0076,1.67199,0.22898,0.22065,0.14721,0.0565,2.10325,2.38299,1.7865,0.001208,0.001208,0.001208
14,87.7045,1.8086,1.98714,1.66009,0.27647,0.28006,0.1966,0.07736,2.01014,2.30338,1.84815,0.001142,0.001142,0.001142
15,92.7232,1.80877,1.98768,1.66748,0.28239,0.30693,0.2054,0.08294,2.02446,2.2368,1.80796,0.001076,0.001076,0.001076
16,98.861,1.76812,1.9456,1.64089,0.28777,0.27864,0.20538,0.08208,1.98437,2.20141,1.77895,0.00101,0.00101,0.00101
17,103.675,1.75094,1.93701,1.63697,0.29069,0.31592,0.22942,0.09546,1.94786,2.22477,1.76775,0.000944,0.000944,0.000944
18,110.692,1.73877,1.91388,1.62121,0.30349,0.31966,0.23304,0.08779,1.94438,2.30817,1.79185,0.000878,0.000878,0.000878
19,115.994,1.75602,1.94722,1.62723,0.35506,0.28854,0.23195,0.09062,1.94683,2.20375,1.79939,0.000812,0.000812,0.000812
20,121.311,1.70163,1.87712,1.58864,0.34217,0.30552,0.26009,0.10902,1.88589,2.11796,1.72047,0.000746,0.000746,0.000746
21,128.839,1.80545,2.10138,1.686,0.30846,0.28854,0.22712,0.08977,1.91834,2.22749,1.76496,0.00068,0.00068,0.00068
22,133.426,1.73292,2.01073,1.63174,0.29081,0.29562,0.2176,0.09228,1.886,2.20143,1.76031,0.000614,0.000614,0.000614
23,139.529,1.73196,1.96613,1.63749,0.32064,0.28996,0.23197,0.10049,1.84771,2.20057,1.73342,0.000548,0.000548,0.000548
24,144.058,1.69732,1.92428,1.60743,0.36315,0.30552,0.27086,0.11445,1.84923,2.12595,1.72066,0.000482,0.000482,0.000482
25,148.837,1.6674,1.89104,1.58508,0.37065,0.3357,0.28119,0.1135,1.83607,2.10362,1.69476,0.000416,0.000416,0.000416
26,154.655,1.68248,1.84036,1.57624,0.35425,0.37199,0.29236,0.12237,1.85882,2.05186,1.70067,0.00035,0.00035,0.00035
27,159.245,1.65656,1.81197,1.56678,0.33299,0.35502,0.27407,0.11284,1.86671,2.06121,1.71132,0.000284,0.000284,0.000284
28,164.869,1.62931,1.80548,1.5471,0.3658,0.33663,0.28173,0.11875,1.84237,2.04263,1.70067,0.000218,0.000218,0.000218
29,169.819,1.617,1.78251,1.54764,0.39389,0.31683,0.28094,0.11779,1.84322,2.05223,1.70914,0.000152,0.000152,0.000152
30,174.546,1.61998,1.78608,1.5425,0.36268,0.33239,0.29073,0.12005,1.84509,2.05437,1.71297,8.6e-05,8.6e-05,8.6e-05
